flight_id,ticket_id,airline_name_id,flight_number_id
1,1,1,1
2,2,1,2
3,3,2,3
4,4,3,4
5,5,3,5
6,6,3,6
7,7,3,7
8,8,3,8
9,9,4,9
10,10,4,10
11,11,4,11
12,12,4,12
13,13,5,13
14,14,5,14
15,15,5,15
16,16,5,16
17,17,6,17
18,18,6,18
19,19,2,19
20,20,4,20
21,21,4,21
22,22,4,22
23,23,6,23
24,24,5,24
25,25,3,25
26,26,5,26
27,27,2,27
28,28,1,28
29,29,5,29
30,30,4,30
31,31,5,31
32,32,3,32
33,33,3,33
34,34,3,34
35,35,3,35
36,36,3,36
37,37,6,37
38,38,1,38
39,39,6,39
40,40,6,40
41,41,6,41
42,42,6,42
43,43,6,43
44,44,1,44
45,45,3,45
46,46,3,46
47,47,2,47
48,48,6,48
49,49,6,49
50,50,6,50
51,51,6,51
52,52,6,52
53,53,5,53
54,54,5,54
55,55,5,55
56,56,5,56
57,57,3,57
58,58,6,58
59,59,3,59
60,60,3,60
61,61,3,61
62,62,3,32
63,63,3,33
64,64,5,62
65,65,4,63
66,66,3,64
67,67,6,65
68,68,4,66
69,69,3,59
70,70,6,67
71,71,6,68
72,72,3,69
73,73,3,60
74,74,5,70
75,75,1,71
76,76,5,72
77,77,6,73
78,78,3,74
79,79,3,59
80,80,3,75
81,81,6,58
82,82,6,76
83,83,3,33
84,84,3,34
85,85,3,35
86,86,3,36
87,87,3,32
88,88,3,77
89,89,3,78
90,90,3,61
91,91,6,65
92,92,3,79
93,93,6,80
94,94,3,81
95,95,3,77
96,96,4,82
97,97,3,34
98,98,3,35
99,99,3,36
100,100,3,60
101,101,3,75
102,102,6,83
103,103,6,84
104,104,3,77
105,105,6,85
106,106,3,78
107,107,4,86
108,108,6,87
109,109,6,50
110,110,6,84
111,111,3,88
112,112,6,89
113,113,1,90
114,114,1,28
115,115,3,7
116,116,3,91
117,117,3,69
118,118,3,45
119,119,3,92
120,120,4,93
121,121,4,94
122,122,4,95
123,123,5,26
124,124,5,29
125,125,5,96
126,126,5,97
127,127,1,2
128,128,5,24
129,129,6,98
130,130,6,99
131,131,6,100
132,132,4,101
133,133,6,102
134,134,3,4
135,135,3,8
136,136,3,25
137,137,3,6
138,138,2,47
139,139,5,14
140,140,5,103
141,141,1,38
142,142,1,38
143,143,6,104
144,144,6,105
145,145,6,106
146,146,3,107
147,147,6,108
148,148,5,109
149,149,6,110
150,150,3,64
151,151,5,54
152,152,5,53
153,153,5,56
154,154,6,111
155,155,5,62
156,156,5,112
157,157,3,60
158,158,5,53
159,159,5,55
160,160,3,113
161,161,3,74
162,162,3,35
163,163,3,114
164,164,3,57
165,165,6,115
166,166,5,116
167,167,6,39
168,168,3,34
169,169,6,117
170,170,1,118
171,171,6,117
172,172,6,65
173,173,6,58
174,174,4,119
175,175,4,101
176,176,3,81
177,177,3,61
178,178,3,36
179,179,6,68
180,180,4,20
181,181,3,35
182,182,6,117
183,183,4,120
184,184,4,121
185,185,3,34
186,186,3,122
187,187,3,60
188,188,3,32
189,189,3,33
190,190,4,66
191,191,6,51
192,192,5,72
193,193,6,123
194,194,5,124
195,195,6,84
196,196,3,125
197,197,3,126
198,198,4,30
199,199,3,60
200,200,4,63
201,201,6,65
202,202,6,58
203,203,3,79
204,204,3,46
205,205,3,77
206,206,6,127
207,207,6,128
208,208,6,67
209,209,4,129
210,210,3,130
211,211,6,131
212,212,3,61
213,213,3,77
214,214,4,132
215,215,3,91
216,216,1,1
217,217,1,133
218,218,3,69
219,219,4,10
220,220,4,94
221,221,3,6
222,222,6,98
223,223,4,11
224,224,5,103
225,225,5,109
226,226,5,29
227,227,5,26
228,228,5,15
229,229,3,25
230,230,3,107
231,231,2,19
232,232,6,134
233,233,5,31
234,234,3,114
235,235,1,38
236,236,6,76
237,237,4,119
238,238,5,56
239,239,3,64
240,240,3,81
241,241,5,54
242,242,5,53
243,243,6,48
244,244,3,113
245,245,1,38
246,246,6,43
247,247,5,135
248,248,1,118
249,249,4,129
250,250,4,120
251,251,4,121
252,252,3,81
253,253,6,52
254,254,3,8
255,255,6,42
256,256,5,136
257,257,5,124
258,258,2,47
259,259,3,57
260,260,4,66
261,261,6,137
262,262,3,35
263,263,1,71
264,264,5,138
265,265,6,131
266,266,5,72
267,267,3,74
268,268,3,75
269,269,3,126
270,270,4,20
271,271,6,58
272,272,3,57
273,273,3,32
274,274,5,62
275,275,3,36
276,276,3,61
277,277,6,65
278,278,5,139
279,279,5,116
280,280,3,92
281,281,3,45
282,282,6,50
283,283,5,97
284,284,5,109
285,285,6,49
286,286,6,68
287,287,3,140
288,288,3,35
289,289,3,61
290,290,4,82
291,291,3,60
292,292,6,110
293,293,3,32
294,294,3,34
295,295,3,88
296,296,6,84
297,297,3,35
298,298,3,122
299,299,6,141
300,300,6,40
301,301,6,40
302,302,3,34
303,303,3,130
304,304,4,86
305,305,6,41
306,306,3,34
307,307,6,127
308,308,6,41
309,309,4,142
310,310,6,143
311,311,6,144
312,312,6,123
313,313,6,128
314,314,6,58
315,315,6,65
316,316,6,67
317,317,1,145
318,318,1,146
319,319,1,147
320,320,3,8
321,321,3,25
322,322,5,148
323,323,1,90
324,324,6,149
325,325,2,47
326,326,4,150
327,327,4,82
328,328,4,63
329,329,4,120
330,330,1,38
331,331,5,103
332,332,5,124
333,333,5,56
334,334,1,118
335,335,2,3
336,336,5,13
337,337,3,5
338,338,5,136
339,339,4,9
340,340,5,116
341,341,5,53
342,342,5,55
343,343,6,151
344,344,3,74
345,345,3,122
346,346,6,48
347,347,6,152
348,348,4,119
349,349,5,62
350,350,6,153
351,351,6,104
352,352,4,121
353,353,3,57
354,354,3,113
355,355,3,64
356,356,6,110
357,357,5,31
358,358,6,154
359,359,3,74
360,360,3,81
361,361,3,122
362,362,6,76
363,363,5,54
364,364,5,70
365,365,4,66
366,366,6,85
367,367,3,140
368,368,3,46
369,369,3,130
370,370,4,155
371,371,4,86
372,372,3,79
373,373,6,141
374,374,1,44
375,375,5,72
376,376,6,156
377,377,5,135
378,378,3,61
379,379,3,75
380,380,3,88
381,381,6,68
382,382,4,129
383,383,3,75
384,384,3,88
385,385,3,125
386,386,3,126
387,387,3,125
388,388,6,117
389,389,6,117
390,390,3,77
391,391,6,50
392,392,6,157
393,393,6,50
394,394,6,51
395,395,3,77
396,396,3,59
397,397,4,129
398,398,3,59
399,399,3,78
400,400,3,59
401,401,6,123
402,402,6,67
403,403,6,49
404,404,6,68
405,405,6,127
406,406,6,131
407,407,1,158
408,408,3,159
409,409,3,160
410,410,3,161
411,411,3,92
412,412,3,162
413,413,3,163
414,414,2,164
415,415,2,165
416,416,4,129
417,417,4,166
418,418,1,167
419,419,5,135
420,420,5,124
421,421,5,112
422,422,5,70
423,423,5,54
424,424,6,168
425,425,6,151
426,426,5,53
427,427,4,63
428,428,6,76
429,429,6,110
430,430,5,72
431,431,5,55
432,432,3,114
433,433,3,46
434,434,6,104
435,435,3,57
436,436,5,109
437,437,1,71
438,438,6,153
439,439,3,107
440,440,6,89
441,441,4,129
442,442,4,150
443,443,6,169
444,444,6,108
445,445,3,170
446,446,3,171
447,447,3,126
448,448,3,125
449,449,3,75
450,450,3,126
451,451,3,88
452,452,6,83
453,453,6,84
454,454,6,156
455,455,5,139
456,456,3,78
457,457,3,61
458,458,6,65
459,459,3,130
460,460,6,137
461,461,6,52
462,462,6,65
