ticket_id,airline_name_id,airline_name,flight_number_id,flight_number,class_id,class,price_id,price
1,1,SpiceJet,1,SG-8709,1,Economy,1,5953
2,1,SpiceJet,2,SG-8157,1,Economy,1,5953
3,2,AirAsia,3,I5-764,1,Economy,2,5956
4,3,Vistara,4,UK-995,1,Economy,3,5955
5,3,Vistara,5,UK-963,1,Economy,3,5955
6,3,Vistara,6,UK-945,1,Economy,3,5955
7,3,Vistara,7,UK-927,1,Economy,4,6060
8,3,Vistara,8,UK-951,1,Economy,4,6060
9,4,GO_FIRST,9,G8-334,1,Economy,5,5954
10,4,GO_FIRST,10,G8-336,1,Economy,5,5954
11,4,GO_FIRST,11,G8-392,1,Economy,5,5954
12,4,GO_FIRST,12,G8-338,1,Economy,5,5954
13,5,Indigo,13,6E-5001,1,Economy,3,5955
14,5,Indigo,14,6E-6202,1,Economy,3,5955
15,5,Indigo,15,6E-549,1,Economy,3,5955
16,5,Indigo,16,6E-6278,1,Economy,3,5955
17,6,Air_India,17,AI-887,1,Economy,3,5955
18,6,Air_India,18,AI-665,1,Economy,3,5955
19,2,AirAsia,19,I5-747,1,Economy,6,5949
20,4,GO_FIRST,20,G8-266,1,Economy,5,5954
21,4,GO_FIRST,21,G8-101,1,Economy,5,5954
22,4,GO_FIRST,22,G8-103,1,Economy,5,5954
23,6,Air_India,23,AI-441,1,Economy,3,5955
24,5,Indigo,24,6E-5328,1,Economy,7,6165
25,3,Vistara,25,UK-933,1,Economy,8,6690
26,5,Indigo,26,6E-2046,1,Economy,9,6585
27,2,AirAsia,27,I5-744,1,Economy,10,8869
28,1,SpiceJet,28,SG-8169,1,Economy,11,10260
29,5,Indigo,29,6E-5041,1,Economy,12,10470
30,4,GO_FIRST,30,G8-165,1,Economy,13,10575
31,5,Indigo,31,6E-2373,1,Economy,14,10838
32,3,Vistara,32,UK-813,1,Economy,15,12150
33,3,Vistara,33,UK-817,1,Economy,15,12150
34,3,Vistara,34,UK-819,1,Economy,15,12150
35,3,Vistara,35,UK-801,1,Economy,15,12150
36,3,Vistara,36,UK-815,1,Economy,15,12150
37,6,Air_India,37,AI-453,1,Economy,16,11900
38,1,SpiceJet,38,SG-2976,1,Economy,17,12123
39,6,Air_India,39,AI-504,1,Economy,15,12150
40,6,Air_India,40,AI-502,1,Economy,15,12150
41,6,Air_India,41,AI-506,1,Economy,15,12150
42,6,Air_India,42,AI-803,1,Economy,15,12150
43,6,Air_India,43,AI-479,1,Economy,18,12215
44,1,SpiceJet,44,SG-339,1,Economy,19,12230
45,3,Vistara,45,UK-955,1,Economy,20,12780
46,3,Vistara,46,UK-627,1,Economy,21,12885
47,2,AirAsia,47,I5-784,1,Economy,22,12539
48,6,Air_India,48,AI-9643,1,Economy,23,12938
49,6,Air_India,49,AI-540,1,Economy,24,12990
50,6,Air_India,50,AI-429,1,Economy,24,12990
51,6,Air_India,51,AI-439,1,Economy,24,12990
52,6,Air_India,52,AI-9645,1,Economy,25,13086
53,5,Indigo,53,6E-2193,1,Economy,26,13279
54,5,Indigo,54,6E-2168,1,Economy,26,13279
55,5,Indigo,55,6E-152,1,Economy,26,13279
56,5,Indigo,56,6E-369,1,Economy,26,13279
57,3,Vistara,57,UK-899,1,Economy,27,13673
58,6,Air_India,58,AI-764,1,Economy,28,13410
59,3,Vistara,59,UK-747,1,Economy,29,13935
60,3,Vistara,60,UK-809,1,Economy,30,14040
61,3,Vistara,61,UK-737,1,Economy,30,14040
62,3,Vistara,32,UK-813,1,Economy,31,14093
63,3,Vistara,33,UK-817,1,Economy,31,14093
64,5,Indigo,62,6E-2338,1,Economy,32,13767
65,4,GO_FIRST,63,G8-237,1,Economy,33,13932
66,3,Vistara,64,UK-871,1,Economy,34,14408
67,6,Air_India,65,AI-762,1,Economy,35,14250
68,4,GO_FIRST,66,G8-1404,1,Economy,36,14539
69,3,Vistara,59,UK-747,1,Economy,37,14985
70,6,Air_India,67,AI-512,1,Economy,38,14670
71,6,Air_India,68,AI-537,1,Economy,39,15195
72,3,Vistara,69,UK-977,1,Economy,40,15720
73,3,Vistara,60,UK-809,1,Economy,41,15983
74,5,Indigo,70,6E-184,1,Economy,40,15720
75,1,SpiceJet,71,SG-3002,1,Economy,40,15720
76,5,Indigo,72,6E-2102,1,Economy,40,15720
77,6,Air_India,73,AI-801,1,Economy,42,16245
78,3,Vistara,74,UK-637,1,Economy,43,16613
79,3,Vistara,59,UK-747,1,Economy,44,16665
80,3,Vistara,75,UK-835,1,Economy,44,16665
81,6,Air_India,58,AI-764,1,Economy,45,16455
82,6,Air_India,76,AI-531,1,Economy,44,16665
83,3,Vistara,33,UK-817,1,Economy,46,17348
84,3,Vistara,34,UK-819,1,Economy,46,17348
85,3,Vistara,35,UK-801,1,Economy,46,17348
86,3,Vistara,36,UK-815,1,Economy,46,17348
